Program Time [s],data 0,data 1,data 2
81.4975,-516,50,-280
81.5763,-516,50,-281
81.6553,-516,50,-280
81.7343,-515,50,-281
81.8133,-516,50,-280
81.8923,-516,50,-281
81.9714,-516,51,-280
82.0503,-516,50,-282
82.1295,-516,50,-280
82.2083,-516,51,-280
82.2873,-515,50,-281
82.3663,-516,50,-281
82.4455,-516,50,-281
82.5243,-516,50,-280
82.6034,-516,49,-281
82.6823,-516,51,-280
82.7617,-516,51,-280
82.8403,-516,49,-281
82.9195,-516,50,-280
82.9983,-515,51,-281
83.0773,-517,50,-281
83.1563,-517,50,-281
83.2354,-515,50,-280
83.3143,-516,51,-281
83.3933,-516,50,-281
83.4723,-516,50,-280
83.5513,-516,50,-281
83.6303,-515,50,-280
83.7093,-516,50,-281
83.7887,-515,49,-281
83.8673,-515,50,-280
83.9463,-516,51,-281
84.0253,-516,50,-280
84.1043,-516,50,-280
84.1833,-516,49,-280
84.2623,-517,50,-281
84.3413,-516,50,-281
84.4205,-517,51,-282
84.4995,-515,51,-281
84.5783,-517,50,-281
84.6573,-517,50,-281
84.7363,-515,49,-281
84.8157,-515,49,-281
84.8943,-516,50,-280
84.9733,-516,49,-280
85.0525,-515,51,-281
85.1314,-516,50,-281
85.2103,-517,50,-280
85.2893,-517,49,-281
85.3683,-516,50,-281
85.4473,-516,51,-280
85.5263,-516,50,-280
85.6053,-516,50,-282
85.6843,-515,51,-280
85.7633,-516,50,-281
85.8423,-516,50,-281
85.9218,-516,50,-280
86.0004,-516,50,-280
86.0794,-516,49,-281
86.1583,-516,50,-281
86.2374,-516,50,-281
86.3164,-516,50,-280
86.3954,-516,50,-279
86.4743,-517,51,-280
86.5535,-515,50,-279
86.6324,-515,50,-280
86.7113,-516,51,-280
86.7903,-515,49,-280
86.8695,-515,52,-280
86.9483,-516,50,-280
87.0273,-516,50,-281
87.1063,-516,50,-281
87.1854,-514,61,-280
87.2644,-520,47,-270
87.3433,-514,-7,-301
87.4223,-504,-70,-319
87.5014,-469,-151,-334
87.5804,-380,-215,-358
87.6594,-329,-246,-357
87.7384,-264,-255,-373
87.8174,-196,-261,-381
87.8964,-138,-279,-372
87.9754,-82,-293,-356
88.0545,-37,-305,-335
88.1334,-6,-327,-304
88.2125,4,-347,-276
88.2914,24,-378,-230
88.3704,32,-396,-197
88.4497,32,-409,-172
88.5284,46,-410,-162
88.6074,50,-411,-156
88.6864,37,-414,-154
88.7654,18,-419,-152
88.8444,14,-430,-136
88.9234,8,-446,-95
89.0024,8,-461,-38
89.0814,16,-464,5
89.1604,-11,-465,65
89.2393,-10,-456,120
89.3183,12,-443,173
89.3973,12,-435,205
89.4763,15,-423,241
89.5553,6,-410,273
89.6344,-2,-392,309
89.7133,-7,-403,301
89.7923,-18,-388,322
89.8713,52,-401,328
89.9503,43,-416,307
90.0293,31,-434,285
90.1083,48,-437,292
90.1872,91,-452,271
90.2662,145,-456,247
90.3452,165,-455,236
90.4243,191,-454,224
90.5032,211,-443,238
90.5822,264,-412,249
90.6612,274,-391,259
90.7402,289,-397,282
90.8193,274,-400,301
90.8983,265,-394,321
90.9773,260,-381,342
91.0563,248,-370,372
91.1353,217,-358,394
91.2143,206,-364,395
91.2933,194,-365,408
91.3723,175,-349,420
91.4513,147,-319,438
91.5303,102,-305,448
91.6092,37,-315,447
91.6883,-58,-317,424
91.7673,-125,-335,386
91.8463,-125,-370,361
91.9253,-106,-407,335
92.0043,-160,-430,276
92.0833,-201,-449,210
92.1623,-190,-477,156
92.2413,-208,-477,128
92.3203,-162,-482,164
92.3993,-111,-480,205
92.4783,-112,-475,204
92.5573,-124,-457,221
92.6363,-63,-435,281
92.7153,-42,-404,327
92.7943,-31,-362,367
92.8733,7,-305,415
92.9523,83,-244,452
93.0313,167,-190,464
93.1103,257,-171,436
93.1892,334,-168,383
93.2683,398,-172,292
93.3473,412,-215,155
93.4263,367,-262,29
93.5053,318,-289,-54
93.5843,238,-316,-130
93.6636,177,-326,-181
93.7423,122,-323,-223
93.8213,48,-327,-258
93.9003,-10,-317,-286
93.9794,-116,-308,-307
94.0584,-205,-308,-297
94.1374,-235,-288,-309
94.2164,-276,-269,-310
94.2954,-326,-245,-304
94.3745,-365,-249,-274
94.4535,-386,-263,-246
94.5325,-408,-264,-217
94.6115,-412,-252,-226
94.6905,-432,-241,-211
94.7695,-444,-205,-232
94.8486,-479,-152,-203
94.9281,-507,-112,-167
95.0066,-504,-133,-164
95.0856,-515,-125,-144
95.1646,-519,-137,-112
95.2437,-524,-112,-76
95.3227,-523,-98,-63
95.4017,-523,-59,-81
95.4807,-521,-52,-98
95.5597,-519,-37,-79
95.6387,-518,-44,-56
95.7178,-514,-50,-36
95.7968,-511,-30,-21
95.8758,-507,-32,-4
95.9548,-500,-10,21
96.0338,-487,-41,63
96.1133,-463,-88,112
96.1918,-433,-154,145
96.2708,-421,-210,135
96.3498,-414,-264,87
96.4288,-403,-308,35
96.5078,-386,-341,-75
96.5868,-366,-342,-155
96.6659,-350,-335,-203
96.7449,-312,-320,-263
96.8239,-269,-305,-305
96.9029,-241,-291,-326
96.982,-193,-284,-343
97.0611,-117,-292,-343
97.14,-6,-332,-304
97.2195,84,-377,-230
97.2986,152,-404,-148
97.377,207,-414,-74
97.456,279,-400,62
97.535,356,-328,166
97.614,367,-274,276
97.693,364,-225,338
97.7719,268,-196,433
97.851,208,-174,464
97.9299,94,-174,481
98.0089,70,-148,489
98.0879,3,-154,478
98.1669,-88,-150,454
98.2459,-142,-148,430
98.3249,-151,-157,425
98.4039,-191,-164,402
98.4829,-237,-180,363
98.5619,-258,-198,337
98.6409,-324,-197,276
98.7199,-362,-206,216
98.7989,-392,-195,173
98.8779,-441,-182,56
98.9569,-453,-184,-29
99.0359,-446,-178,-140
99.1149,-396,-185,-245
99.194,-325,-207,-306
99.273,-219,-197,-366
99.352,-112,-171,-386
99.431,-22,-133,-386
99.51,21,-101,-376
99.589,81,-77,-360
99.668,128,-69,-336
99.747,159,-86,-318
99.826,230,-103,-266
99.9051,297,-132,-203
99.984,364,-186,-102
100.063,394,-260,16
100.142,359,-344,150
100.221,308,-377,243
100.3,224,-406,292
100.379,115,-439,293
100.458,-46,-462,244
100.537,-100,-477,195
100.616,-144,-488,135
100.695,-196,-493,63
100.774,-241,-487,10
100.853,-273,-478,-49
100.932,-311,-454,-123
101.011,-317,-445,-159
101.09,-326,-407,-229
101.169,-336,-346,-297
101.248,-325,-318,-321
101.327,-296,-305,-341
101.406,-283,-302,-343
101.485,-257,-306,-344
101.564,-235,-322,-335
101.643,-198,-326,-339
101.722,-170,-323,-344
101.801,-117,-317,-347
101.88,-76,-304,-349
101.959,-56,-302,-344
102.038,-60,-293,-347
102.117,-58,-290,-346
102.197,-70,-282,-347
102.275,-60,-277,-346
102.354,-52,-261,-351
102.433,-42,-247,-354
102.512,-13,-240,-349
102.591,14,-259,-336
102.67,58,-267,-320
102.749,71,-300,-297
102.828,69,-280,-312
102.907,87,-234,-326
102.986,24,-165,-374
103.065,-33,-129,-394
103.144,-124,-122,-399
103.223,-221,-172,-372
103.302,-328,-254,-271
103.381,-310,-306,-238
103.46,-262,-345,-232
103.54,-287,-330,-225
103.618,-312,-313,-221
103.698,-319,-309,-221
103.777,-306,-329,-217
103.856,-284,-346,-234
103.935,-264,-301,-303
104.014,-213,-190,-384
104.093,-118,-94,-415
104.172,131,25,-355
104.251,228,138,-262
104.33,303,256,-107
104.408,304,341,67
104.487,258,379,165
104.566,224,383,232
104.645,184,387,261
104.724,157,418,198
104.803,73,450,43
104.882,-71,451,-1
104.961,-249,395,-35
105.04,-434,225,-68
105.119,-491,97,-42
105.198,-506,-25,-10
105.277,-473,-131,94
105.356,-440,-170,147
105.435,-436,-205,126
105.514,-428,-230,118
105.593,-425,-257,92
105.672,-420,-275,78
105.752,-430,-280,38
105.83,-447,-255,17
105.909,-497,-143,-53
105.988,-509,-17,-88
106.068,-464,149,-163
106.147,-369,229,-254
106.225,-250,280,-302
106.305,-236,270,-323
106.384,-302,253,-316
106.462,-418,259,-211
106.541,-467,236,-157
106.62,-476,264,-52
106.699,-499,230,-103
106.779,-523,191,-169
106.857,-491,156,-238
106.937,-477,137,-282
107.015,-453,138,-316
107.094,-461,117,-318
107.173,-457,120,-322
107.253,-473,156,-279
107.331,-486,175,-237
107.41,-511,176,-156
107.489,-512,181,-153
107.568,-513,180,-153
107.647,-512,181,-153
107.726,-512,180,-154
107.805,-513,180,-153
107.884,-513,180,-153
107.963,-512,181,-154
108.042,-512,181,-154
108.121,-513,181,-154
108.2,-514,180,-154
108.28,-512,180,-155
108.358,-512,181,-152
108.437,-513,180,-153
108.516,-513,180,-153
108.595,-512,181,-153
108.674,-512,181,-153
108.753,-513,181,-153
108.833,-512,180,-153
108.911,-512,182,-153
108.99,-512,181,-154
109.069,-512,181,-153
109.148,-513,181,-154
109.227,-512,180,-154
109.306,-514,180,-154
